,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
196,Tue 26th Jul 22,,de_inferno,10:16,,,17,20,4,-3,65,65,0,0,0,0,1,0,0,0,0.98,View Match
197,Sun 24th Jul 22,,de_dust2,16:13,,,20,17,5,3,25,82,0,0,0,0,0,0,0,1,1.21,View Match
198,Sun 24th Jul 22,,de_cache,16:12,,,20,18,1,2,25,64,0,0,0,0,1,0,0,1,1.07,View Match
199,Sun 24th Jul 22,,de_cache,8:16,,,12,20,2,-8,50,72,0,0,0,0,0,0,0,0,0.75,View Match
200,Sun 24th Jul 22,,de_inferno,16:8,,,16,13,2,3,38,59,0,0,0,0,0,0,0,0,1.1,View Match
201,Wed 20th Jul 22,,de_dust2,16:11,,,14,18,4,-4,36,56,0,0,0,0,0,0,0,0,0.81,View Match
202,Wed 20th Jul 22,,de_cache,11:16,,,14,23,9,-9,21,88,0,0,0,1,1,0,0,1,0.87,View Match
203,Wed 20th Jul 22,,de_inferno,10:16,,,11,22,1,-11,36,47,0,0,0,0,1,0,0,0,0.59,View Match
204,Tue 19th Jul 22,,de_mirage,16:12,,,15,23,5,-8,27,68,0,0,0,0,0,0,0,1,0.8,View Match
205,Tue 19th Jul 22,,de_dust2,15:15,,,11,22,6,-11,36,49,0,0,0,1,0,0,0,1,0.63,View Match
206,Tue 19th Jul 22,,de_inferno,15:15,,,19,22,5,-3,42,74,0,0,0,0,2,0,0,1,1.01,View Match
207,Thu 7th Jul 22,,de_cache,3:16,,,15,16,1,-1,33,67,0,0,0,0,0,0,0,1,0.94,View Match
208,Wed 6th Jul 22,,de_mirage,6:16,,,16,18,0,-2,50,67,0,0,0,0,0,0,0,1,0.84,View Match
209,Tue 5th Jul 22,,de_inferno,8:16,,,15,16,5,-1,13,67,0,0,0,0,0,0,0,1,1.04,View Match
210,Tue 5th Jul 22,,de_dust2,16:7,,,12,15,3,-3,17,58,0,0,0,0,1,0,0,0,0.85,View Match
211,Tue 5th Jul 22,,de_dust2,16:12,,,18,18,7,0,44,71,0,0,0,0,2,0,0,1,1.11,View Match
212,Sun 3rd Jul 22,,de_mirage,16:2,,,26,5,2,21,50,121,1,0,0,0,1,0,1,4,2.3,View Match
213,Sun 3rd Jul 22,,de_dust2,16:11,,,24,19,3,5,38,94,0,0,0,1,0,0,1,2,1.37,View Match
214,Sat 2nd Jul 22,,de_inferno,16:10,,,15,18,8,-3,67,72,0,0,0,0,1,0,0,0,1.05,View Match
215,Sat 2nd Jul 22,,de_mirage,16:10,,,17,17,6,0,29,73,0,0,0,0,0,0,0,2,1.11,View Match
